139,GS건설,"23,850","

				1,050
				
","

				+4.61%
				
","5,000","20,411","85,581",28.17,"1,042,551",4.08,9.32,
140,HL만도,"43,100","

				150
				
","

				+0.35%
				
","1,000","20,239","46,957",23.31,"108,234",9.55,9.31,
141,KCC,"227,500","

				5,500
				
","

				+2.48%
				
","5,000","20,217","8,886",13.67,"33,406",-7.31,-0.92,
142,동서,"20,050","

				300
				
","

				+1.52%
				
",500,"19,990","99,700",3.04,"55,270",18.06,8.05,
143,KODEX 레버리지,"14,970","

				190
				
","

				+1.29%
				
",0,"19,918","133,050",1.24,"24,883,668",N/A,N/A,
144,KODEX 200TR,"10,745","

				65
				
","

				+0.61%
				
",0,"19,905","185,250",0.02,"75,169",N/A,N/A,
145,DB하이텍,"44,000","

				150
				
","

				+0.34%
				
","5,000","19,535","44,399",26.40,"482,441",3.22,33.35,
146,현대차우,"79,700","

				600
				
","

				-0.75%
				
","5,000","19,412","24,357",57.89,"18,636",3.56,N/A,
147,대한전선,"1,555","

				10
				
","

				+0.65%
				
",100,"19,352","1,244,473",2.38,"2,135,236",59.81,7.78,
148,대우건설,"4,645","

				180
				
","

				+4.03%
				
","5,000","19,306","415,623",12.76,"1,117,732",3.85,16.47,
149,영원무역,"43,350","

				150
				
","

				+0.35%
				
",500,"19,209","44,311",30.21,"38,379",3.38,14.71,
150,삼천리,"471,500","

				3,000
				
","

				+0.64%
				
","5,000","19,119","4,055",14.76,"13,618",24.05,4.52,
151,TIGER 미국나스닥100,"62,785","

				135
				
","

				-0.21%
				
",0,"18,905","30,110",0.00,"76,186",N/A,N/A,
152,대성홀딩스,"116,500","

				2,000
				
","

				+1.75%
				
","1,000","18,744","16,089",5.22,"106,531",117.20,3.61,
153,TIGER 200,"32,055","

				185
				
","

				+0.58%
				
",0,"18,480","57,650",3.45,"864,677",N/A,N/A,
154,오뚜기,"457,500","

				5,500
				
","

				-1.19%
				
","5,000","18,336","4,008",11.22,"2,768",11.77,8.91,
155,하이트진로,"25,900","

				450
				
","

				+1.77%
				
","5,000","18,165","70,134",13.40,"193,793",15.99,6.62,
156,코스모신소재,"57,000","

				1,000
				
","

				+1.79%
				
","1,000","17,471","30,651",6.64,"202,263",61.03,9.42,
157,대웅제약,"150,000","
0
","
0.00%
","2,500","17,380","11,587",7.16,"81,269",21.13,4.39,
158,효성티앤씨,"401,000","

				5,000
				
","

				+1.26%
				
","5,000","17,354","4,328",8.26,"29,691",11.41,76.22,
159,LIG넥스원,"78,100","

				500
				
","

				+0.64%
				
","5,000","17,182","22,000",12.83,"141,933",9.37,14.63,
160,효성첨단소재,"377,000","

				2,500
				
","

				+0.67%
				
","5,000","16,889","4,480",6.84,"10,890",9.33,54.69,
161,쌍용차,"8,760","
0
","
0.00%
","5,000","16,377","186,956",24.60,0,-2.47,305.77,
